threshold,precision,recall
0.9999997436641067,1.0,0.512
0.9999997459982719,1.0,0.508
0.9999997621398847,1.0,0.504
0.9999997797697773,1.0,0.484
0.9999997932866039,1.0,0.476
0.9999998077480676,1.0,0.472
0.9999998101307113,1.0,0.464
0.9999998216049029,1.0,0.46
0.9999998531798407,1.0,0.456
0.9999998683165077,1.0,0.452
0.9999998709832331,1.0,0.448
0.9999998810699282,1.0,0.444
0.9999998825438692,1.0,0.432
0.9999998867001146,1.0,0.428
0.9999999119078993,1.0,0.424
0.9999999150250836,1.0,0.416
0.9999999367102291,1.0,0.412
0.9999999464647676,1.0,0.396
0.9999999596822567,1.0,0.392
0.9999999677458051,1.0,0.388
0.99999998942186,1.0,0.384
0.9999999924001558,1.0,0.38
0.9999999954944959,1.0,0.376
0.9999999955213332,1.0,0.372
0.9999999957067409,1.0,0.368
0.9999999974407618,1.0,0.364
0.9999999976493021,1.0,0.36
0.9999999976629338,1.0,0.356
0.9999999980410852,1.0,0.352
0.9999999980805714,1.0,0.348
0.9999999983742148,1.0,0.344
0.999999998435972,1.0,0.34
0.9999999985066925,1.0,0.336
0.9999999985308139,1.0,0.332
0.9999999986000242,1.0,0.328
0.9999999986209865,1.0,0.324
0.9999999986287597,1.0,0.312
0.9999999987203809,1.0,0.308
0.9999999987930281,1.0,0.304
0.9999999989838843,1.0,0.3
0.9999999991600145,1.0,0.296
0.999999999216434,1.0,0.292
0.9999999992533463,1.0,0.284
0.999999999288719,1.0,0.276
0.999999999300012,1.0,0.272
0.9999999993666779,1.0,0.268
0.9999999993777885,1.0,0.264
0.9999999993903306,1.0,0.26
0.9999999994400097,1.0,0.256
0.9999999994919422,1.0,0.252
0.9999999995022308,1.0,0.248
0.9999999995333414,1.0,0.24
0.9999999995641479,1.0,0.236
0.9999999995800073,1.0,0.232
0.9999999995935537,1.0,0.228
0.9999999996082171,1.0,0.22
0.9999999996266731,1.0,0.216
0.9999999996888943,1.0,0.208
0.9999999996951653,1.0,0.204
0.9999999997200049,1.0,0.196
0.9999999997317833,1.0,0.192
0.9999999997511154,1.0,0.184
0.9999999997653104,1.0,0.176
0.9999999997666706,1.0,0.172
0.9999999997809915,1.0,0.168
0.999999999782226,1.0,0.136
0.9999999997967769,1.0,0.132
0.9999999997988375,1.0,0.104
0.9999999998133365,1.0,0.096
0.9999999998323645,1.0,0.08
0.9999999998444471,1.0,0.064
0.9999999998658916,1.0,0.052
0.9999999998755577,1.0,0.04
0.9999999998994188,1.0,0.032
0.9999999999329459,1.0,0.008
